SKUPNO število testiranj,SKUPNO dnevno število testiranj,Dnevno število PCR testiranj,SKUPNO število pozitivnih oseb,SKUPNO DNEVNO število pozitivnih oseb,Skupno število hospitaliziranih oseb na posamezni dan,Skupno število oseb na intenzivni negi na posamezni dan,Dnevno število odpuščenih oseb iz bolnišnic,Skupno število umrlih
262051.0,3308.0,3308.0,9231.0,398.0,180.0,32.0,18.0,173.0
266953.0,4902.0,4902.0,9938.0,707.0,210.0,35.0,17.0,175.0
272240.0,5287.0,5287.0,10684.0,745.0,222.0,40.0,20.0,176.0
277436.0,5196.0,5196.0,11518.0,834.0,242.0,45.0,9.0,180.0
283041.0,5605.0,5605.0,12416.0,898.0,250.0,43.0,28.0,184.0
286806.0,3765.0,3765.0,13144.0,726.0,265.0,49.0,12.0,188.0
289443.0,2637.0,2637.0,13681.0,537.0,289.0,55.0,9.0,190.0
293769.0,4326.0,4326.0,14475.0,794.0,313.0,56.0,27.0,192.0
299660.0,5891.0,5891.0,15980.0,1503.0,333.0,55.0,32.0,202.0
305875.0,6215.0,6215.0,17644.0,1663.0,357.0,62.0,32.0,211.0
312620.0,6745.0,6745.0,19300.0,1656.0,394.0,67.0,25.0,216.0
319645.0,7025.0,7025.0,21261.0,1961.0,449.0,63.0,31.0,235.0
325421.0,5776.0,5776.0,22936.0,1675.0,508.0,71.0,23.0,241.0
329103.0,3682.0,3682.0,24051.0,1115.0,523.0,82.0,23.0,251.0
334859.0,5756.0,5756.0,25551.0,1499.0,560.0,86.0,42.0,264.0
342330.0,7471.0,7471.0,28156.0,2605.0,612.0,99.0,54.0,278.0
349532.0,7202.0,7202.0,30644.0,2488.0,660.0,109.0,47.0,292.0
355900.0,6368.0,6368.0,32442.0,1798.0,703.0,122.0,40.0,315.0
362610.0,6710.0,6710.0,34239.0,1796.0,779.0,122.0,67.0,338.0
367417.0,4807.0,4807.0,35580.0,1342.0,821.0,131.0,34.0,363.0
369661.0,2244.0,2244.0,36137.0,557.0,868.0,135.0,50.0,388.0
374248.0,4587.0,4587.0,37313.0,1176.0,925.0,146.0,57.0,412.0
380559.0,6311.0,6311.0,39340.0,2027.0,979.0,158.0,63.0,441.0
386550.0,5991.0,5991.0,41025.0,1685.0,1023.0,161.0,60.0,471.0
392445.0,5895.0,5895.0,42589.0,1564.0,1069.0,168.0,92.0,497.0
398785.0,6340.0,6340.0,44201.0,1612.0,1084.0,178.0,93.0,531.0
402703.0,3918.0,3918.0,45090.0,889.0,1125.0,176.0,42.0,554.0
404766.0,2063.0,2063.0,45554.0,464.0,1143.0,190.0,53.0,578.0
409223.0,4457.0,4457.0,46638.0,1084.0,1171.0,196.0,104.0,605.0
416738.0,7515.0,7515.0,48855.0,2217.0,1192.0,202.0,96.0,645.0
423505.0,6767.0,6767.0,50780.0,1925.0,1210.0,200.0,93.0,686.0
429267.0,5762.0,5762.0,52288.0,1508.0,1199.0,200.0,79.0,724.0
435924.0,6657.0,6657.0,54001.0,1731.0,1224.0,206.0,95.0,765.0
439487.0,3563.0,3563.0,54921.0,920.0,1261.0,201.0,44.0,797.0
441279.0,1792.0,1792.0,55422.0,501.0,1264.0,207.0,38.0,831.0
446605.0,5326.0,5326.0,56810.0,1388.0,1275.0,208.0,92.0,876.0
453418.0,6813.0,6813.0,58823.0,2013.0,1280.0,209.0,116.0,919.0
460224.0,6806.0,6806.0,60887.0,2064.0,1238.0,205.0,78.0,964.0
465897.0,5673.0,5673.0,62433.0,1546.0,1254.0,201.0,68.0,995.0
472477.0,6580.0,6580.0,64123.0,1690.0,1219.0,197.0,129.0,1026.0
475909.0,3432.0,3432.0,65147.0,1024.0,1244.0,198.0,39.0,1052.0
477653.0,1742.0,1742.0,65617.0,470.0,1292.0,201.0,29.0,1097.0
483249.0,5596.0,5596.0,66919.0,1302.0,1299.0,204.0,78.0,1156.0
491312.0,8063.0,8063.0,69145.0,2226.0,1297.0,202.0,113.0,1199.0
498703.0,7391.0,7391.0,70911.0,1767.0,1302.0,215.0,91.0,1245.0
505290.0,6587.0,6587.0,72520.0,1609.0,1324.0,206.0,98.0,1293.0
512228.0,6938.0,6938.0,74103.0,1591.0,1258.0,194.0,113.0,1336.0
515872.0,3644.0,3644.0,75209.0,1106.0,1278.0,195.0,59.0,1384.0
517752.0,1875.0,1875.0,75637.0,428.0,1298.0,205.0,36.0,1435.0
523620.0,5868.0,5868.0,76929.0,1292.0,1299.0,210.0,81.0,1490.0
530798.0,7178.0,7178.0,79564.0,2429.0,1285.0,199.0,88.0,1547.0
532266.0,6704.0,6704.0,81338.0,1772.0,1289.0,198.0,76.0,1592.0
545798.0,6928.0,6928.0,83133.0,1784.0,1284.0,197.0,86.0,1653.0
552142.0,6344.0,6344.0,84769.0,1636.0,1272.0,199.0,122.0,1700.0
555866.0,3744.0,3744.0,85790.0,1030.0,1302.0,197.0,51.0,1744.0
557617.0,1751.0,1751.0,86270.0,480.0,1301.0,196.0,41.0,1796.0
563795.0,6158.0,6158.0,87915.0,1627.0,1304.0,193.0,86.0,1862.0
570798.0,7003.0,7003.0,90075.0,2139.0,1282.0,198.0,104.0,1900.0
577208.0,6410.0,6410.0,91922.0,1849.0,1258.0,189.0,97.0,1949.0
583661.0,6453.0,6453.0,93735.0,1813.0,1268.0,196.0,113.0,1998.0
589788.0,6127.0,6127.0,95479.0,1744.0,1276.0,193.0,121.0,2041.0
592436.0,2648.0,2648.0,96309.0,830.0,1315.0,201.0,52.0,2063.0
594115.0,1679.0,1679.0,96722.0,431.0,1320.0,208.0,48.0,2107.0
599749.0,5634.0,5634.0,98264.0,1524.0,1284.0,204.0,127.0,2151.0
606328.0,6579.0,6579.0,100389.0,2107.0,1251.0,211.0,128.0,2193.0
612678.0,6350.0,6350.0,102043.0,1642.0,1229.0,208.0,116.0,2236.0
618540.0,5862.0,5862.0,103555.0,1512.0,1212.0,207.0,97.0,2278.0
624140.0,5600.0,5600.0,104982.0,1427.0,1199.0,202.0,93.0,2318.0
626786.0,2646.0,2646.0,105866.0,884.0,1214.0,201.0,41.0,2358.0
628232.0,1446.0,1446.0,106294.0,395.0,1271.0,208.0,22.0,2383.0
635648.0,7416.0,5763.0,107798.0,1504.0,1261.0,207.0,119.0,2422.0
646241.0,10593.0,6524.0,109927.0,2129.0,1226.0,204.0,123.0,2458.0
660339.0,14098.0,6385.0,111967.0,2040.0,1189.0,210.0,120.0,2485.0
672762.0,12423.0,5187.0,113750.0,1783.0,1142.0,201.0,106.0,2514.0
674223.0,1461.0,1336.0,114115.0,365.0,1165.0,209.0,39.0,2539.0
676661.0,2438.0,1880.0,114729.0,614.0,1179.0,205.0,38.0,2573.0
678637.0,1976.0,1664.0,115246.0,517.0,1221.0,207.0,37.0,2603.0
689387.0,10750.0,5677.0,117203.0,1957.0,1170.0,198.0,157.0,2638.0
702553.0,13166.0,5764.0,119613.0,2410.0,1172.0,210.0,98.0,2672.0
716936.0,14383.0,6011.0,122025.0,2412.0,1174.0,198.0,97.0,2704.0
725850.0,8914.0,4073.0,123777.0,1752.0,1110.0,189.0,123.0,2735.0
727441.0,1591.0,1419.0,124165.0,388.0,1111.0,188.0,34.0,2774.0
730135.0,2694.0,2304.0,124890.0,725.0,1173.0,190.0,29.0,2803.0
732806.0,2671.0,2041.0,125634.0,744.0,1209.0,194.0,38.0,2838.0
756303.0,23497.0,5966.0,128135.0,2501.0,1193.0,188.0,108.0,2868.0
778497.0,22194.0,6956.0,131489.0,3354.0,1177.0,182.0,106.0,2899.0
796777.0,18280.0,6370.0,134152.0,2663.0,1169.0,189.0,84.0,2922.0
811495.0,14718.0,5259.0,136197.0,2045.0,1160.0,191.0,92.0,2947.0
824564.0,13069.0,4895.0,138040.0,1843.0,1143.0,194.0,106.0,2973.0
829725.0,5161.0,2669.0,138792.0,752.0,1192.0,202.0,38.0,2998.0
831925.0,2200.0,1720.0,139218.0,426.0,1205.0,196.0,42.0,3022.0
845892.0,13967.0,5512.0,141078.0,1860.0,1202.0,192.0,110.0,3053.0
857835.0,11943.0,6193.0,143170.0,2092.0,1244.0,206.0,90.0,3070.0
869329.0,11494.0,5637.0,144937.0,1767.0,1266.0,199.0,80.0,3093.0
880547.0,11218.0,4897.0,146415.0,1478.0,1266.0,197.0,84.0,3121.0
891100.0,10553.0,4763.0,147938.0,1523.0,1224.0,193.0,128.0,3140.0
894167.0,3067.0,2497.0,148510.0,572.0,1220.0,188.0,38.0,3180.0
895936.0,1769.0,1404.0,148803.0,293.0,1237.0,184.0,31.0,3206.0
909946.0,14010.0,5306.0,150493.0,1690.0,1200.0,187.0,126.0,3231.0
921254.0,11308.0,5384.0,152191.0,1698.0,1178.0,181.0,125.0,3257.0
932853.0,11599.0,4813.0,153636.0,1445.0,1159.0,183.0,96.0,3284.0
944002.0,11149.0,4872.0,155075.0,1439.0,1140.0,185.0,95.0,3309.0
955952.0,11950.0,4405.0,156581.0,1506.0,1129.0,192.0,90.0,3329.0
958927.0,2975.0,2140.0,157118.0,537.0,1149.0,190.0,36.0,3360.0
961661.0,2734.0,1293.0,157411.0,293.0,1173.0,192.0,33.0,3379.0
996753.0,35092.0,4700.0,159063.0,1652.0,1157.0,192.0,91.0,3406.0
1012699.0,15946.0,5418.0,160913.0,1850.0,1144.0,172.0,80.0,3425.0
1026296.0,13597.0,4958.0,162429.0,1516.0,1106.0,171.0,91.0,3448.0
1038329.0,12033.0,4506.0,163723.0,1294.0,1082.0,169.0,84.0,3468.0
1051122.0,12793.0,4299.0,165013.0,1290.0,1047.0,166.0,113.0,3490.0
1055741.0,4619.0,2408.0,165593.0,580.0,1053.0,165.0,43.0,3503.0
1060425.0,4684.0,1458.0,165946.0,353.0,1066.0,169.0,30.0,3522.0
1097724.0,37299.0,4536.0,167565.0,1619.0,1032.0,168.0,94.0,3541.0
1113670.0,15946.0,5709.0,169125.0,1560.0,1012.0,165.0,82.0,3564.0
